# Version 1.00
#
freq[Hz],Trc1_S11[dB],
8.000000000000000E+08,-1.332013144037865E+01,
8.000600000000000E+08,-1.334070709562280E+01,
8.001200000000000E+08,-1.333520878486109E+01,
8.001800000000000E+08,-1.336138695887539E+01,
8.002400000000000E+08,-1.336393888263541E+01,
8.003000000000000E+08,-1.335085355463575E+01,
8.003600000000000E+08,-1.335928868858289E+01,
8.004200000000000E+08,-1.337657636684838E+01,
8.004800000000000E+08,-1.337280308579413E+01,
8.005400000000000E+08,-1.337805714125719E+01,
8.006000000000000E+08,-1.338453827185792E+01,
8.006600000000000E+08,-1.340226145755240E+01,
8.007200000000000E+08,-1.338243273073251E+01,
8.007800000000000E+08,-1.340870341436923E+01,
8.008400000000000E+08,-1.340358130072414E+01,
8.009000000000000E+08,-1.341328866586875E+01,
8.009600000000000E+08,-1.341119659764610E+01,
8.010200000000000E+08,-1.342740367596074E+01,
8.010800000000000E+08,-1.340260445418564E+01,
8.011400000000000E+08,-1.343871216226655E+01,
8.012000000000000E+08,-1.344177069599628E+01,
8.012600000000000E+08,-1.344495525178455E+01,
8.013200000000000E+08,-1.344651613421504E+01,
8.013800000000000E+08,-1.345019269839734E+01,
8.014400000000000E+08,-1.347380637445688E+01,
8.015000000000000E+08,-1.345049412016360E+01,
8.015600000000000E+08,-1.346007324990034E+01,
8.016200000000000E+08,-1.347714215463737E+01,
8.016800000000000E+08,-1.345197872458968E+01,
8.017400000000000E+08,-1.349323038597817E+01,
8.018000000000000E+08,-1.347743702342605E+01,
8.018600000000000E+08,-1.348058894455997E+01,
8.019200000000000E+08,-1.348716418070875E+01,
8.019800000000000E+08,-1.350823491920669E+01,
8.020400000000000E+08,-1.349571402430195E+01,
8.021000000000000E+08,-1.352471238437239E+01,
8.021600000000000E+08,-1.352363792520070E+01,
8.022200000000000E+08,-1.353484076736463E+01,
8.022800000000000E+08,-1.355535255803284E+01,
8.023400000000000E+08,-1.354734337398001E+01,
8.024000000000000E+08,-1.354132438194555E+01,
8.024600000000000E+08,-1.354752981149245E+01,
8.025200000000000E+08,-1.354723909975030E+01,
8.025800000000000E+08,-1.354918290943626E+01,
8.026400000000000E+08,-1.357682513495387E+01,
8.027000000000000E+08,-1.354896821480278E+01,
8.027600000000000E+08,-1.356005169231936E+01,
8.028200000000000E+08,-1.356877644806150E+01,
8.028800000000000E+08,-1.358368413521910E+01,
8.029400000000000E+08,-1.358132232663684E+01,
8.030000000000000E+08,-1.360981509897750E+01,
8.030600000000000E+08,-1.359847433698013E+01,
8.031200000000000E+08,-1.360434544895808E+01,
8.031800000000000E+08,-1.360048477060069E+01,
