# Version 1.00
#
freq[Hz],Trc1_S11[dB],
8.000000000000000E+08,-1.477881248451305E+01,
8.000600000000000E+08,-1.477905073313189E+01,
8.001200000000000E+08,-1.478462206307365E+01,
8.001800000000000E+08,-1.478069610604143E+01,
8.002400000000000E+08,-1.478891539051530E+01,
8.003000000000000E+08,-1.478182618414132E+01,
8.003600000000000E+08,-1.479632048220241E+01,
8.004200000000000E+08,-1.477379704410520E+01,
8.004800000000000E+08,-1.478418997201193E+01,
8.005400000000000E+08,-1.478752353762290E+01,
8.006000000000000E+08,-1.476122110031281E+01,
8.006600000000000E+08,-1.475910461362939E+01,
8.007200000000000E+08,-1.481592118839733E+01,
8.007800000000000E+08,-1.478810145225543E+01,
8.008400000000000E+08,-1.477625619895558E+01,
8.009000000000000E+08,-1.475877411157946E+01,
8.009600000000000E+08,-1.480449670126918E+01,
8.010200000000000E+08,-1.476660214389349E+01,
8.010800000000000E+08,-1.479654934621587E+01,
8.011400000000000E+08,-1.478525341484760E+01,
8.012000000000000E+08,-1.479298493687162E+01,
8.012600000000000E+08,-1.477992935438575E+01,
8.013200000000000E+08,-1.479334499340414E+01,
8.013800000000000E+08,-1.479339093015994E+01,
8.014400000000000E+08,-1.476156398328735E+01,
8.015000000000000E+08,-1.478657860160028E+01,
8.015600000000000E+08,-1.480684904056981E+01,
8.016200000000000E+08,-1.480638168879589E+01,
8.016800000000000E+08,-1.480270969542813E+01,
8.017400000000000E+08,-1.479493291595118E+01,
8.018000000000000E+08,-1.480567742981425E+01,
8.018600000000000E+08,-1.482019655261328E+01,
8.019200000000000E+08,-1.480485786207671E+01,
8.019800000000000E+08,-1.476473240479865E+01,
8.020400000000000E+08,-1.477866981809001E+01,
8.021000000000000E+08,-1.481030197865444E+01,
8.021600000000000E+08,-1.478530087168588E+01,
8.022200000000000E+08,-1.477528487525855E+01,
8.022800000000000E+08,-1.478656407624680E+01,
8.023400000000000E+08,-1.479520068658856E+01,
8.024000000000000E+08,-1.480525654770403E+01,
8.024600000000000E+08,-1.480281098300888E+01,
8.025200000000000E+08,-1.479102079248396E+01,
8.025800000000000E+08,-1.480521442637646E+01,
8.026400000000000E+08,-1.479404820419264E+01,
8.027000000000000E+08,-1.482578417331231E+01,
8.027600000000000E+08,-1.482266608217003E+01,
8.028200000000000E+08,-1.479596268953925E+01,
8.028800000000000E+08,-1.477782729584747E+01,
8.029400000000000E+08,-1.482214451490309E+01,
8.030000000000000E+08,-1.479137462630843E+01,
8.030600000000000E+08,-1.482150321998011E+01,
8.031200000000000E+08,-1.480214945804816E+01,
8.031800000000000E+08,-1.481564861232017E+01,
8.032400000000000E+08,-1.480913820780706E+01,
8.033000000000000E+08,-1.483939408227162E+01,
8.033600000000000E+08,-1.481151595470149E+01,
8.034200000000000E+08,-1.481706680437142E+01,
8.034800000000000E+08,-1.482804340001908E+01,
8.035400000000000E+08,-1.479253418103139E+01,
8.036000000000000E+08,-1.480992169463853E+01,
8.036600000000000E+08,-1.477847259608728E+01,
8.037200000000000E+08,-1.481212425549900E+01,
8.037800000000000E+08,-1.481605623656527E+01,
8.038400000000000E+08,-1.482164046659540E+01,
8.039000000000000E+08,-1.481749696727359E+01,
8.039600000000000E+08,-1.479248541201646E+01,
8.040200000000000E+08,-1.482759967169568E+01,
8.040800000000000E+08,-1.482337346608991E+01,
8.041400000000000E+08,-1.481027542011877E+01,
8.042000000000000E+08,-1.479576380330446E+01,
8.042600000000000E+08,-1.481645976276980E+01,
8.043200000000000E+08,-1.484202700036303E+01,
8.043800000000000E+08,-1.481033144872094E+01,
8.044400000000000E+08,-1.477736665162404E+01,
8.045000000000000E+08,-1.483171008395896E+01,
8.045600000000000E+08,-1.481190549952071E+01,
8.046200000000000E+08,-1.481017534073250E+01,
8.046800000000000E+08,-1.480747677605602E+01,
8.047400000000000E+08,-1.482063837846787E+01,
8.048000000000000E+08,-1.478576982800759E+01,
8.048600000000000E+08,-1.482298574903106E+01,
8.049200000000000E+08,-1.482114818939358E+01,
8.049800000000000E+08,-1.482588512747345E+01,
8.050400000000000E+08,-1.482520649225676E+01,
8.051000000000000E+08,-1.479794835990078E+01,
8.051600000000000E+08,-1.482419959843511E+01,
8.052200000000000E+08,-1.481637102775911E+01,
8.052800000000000E+08,-1.481707390401117E+01,
8.053400000000000E+08,-1.482747313529695E+01,
8.054000000000000E+08,-1.483220357443181E+01,
8.054600000000000E+08,-1.481954395415189E+01,
8.055200000000000E+08,-1.481293191048849E+01,
8.055800000000000E+08,-1.480304526270531E+01,
8.056400000000000E+08,-1.483476905937480E+01,
8.057000000000000E+08,-1.480705125874816E+01,
8.057600000000000E+08,-1.484106687399636E+01,
8.058200000000000E+08,-1.481992616814484E+01,
8.058800000000000E+08,-1.484572993063025E+01,
8.059400000000000E+08,-1.479987302957295E+01,
8.060000000000000E+08,-1.480954084538111E+01,
8.060600000000000E+08,-1.483778774889284E+01,
8.061200000000000E+08,-1.483861742374367E+01,
8.061800000000000E+08,-1.483069096128569E+01,
8.062400000000000E+08,-1.483197920128159E+01,
8.063000000000000E+08,-1.481729043063284E+01,
8.063600000000000E+08,-1.485027188058952E+01,
8.064200000000000E+08,-1.481703240944609E+01,
8.064800000000000E+08,-1.485008888365301E+01,
8.065400000000000E+08,-1.485841098760434E+01,
8.066000000000000E+08,-1.486499799725650E+01,
8.066600000000000E+08,-1.480730524411682E+01,
8.067200000000000E+08,-1.483837090439611E+01,
8.067800000000000E+08,-1.481513780059388E+01,
8.068400000000000E+08,-1.481517681796210E+01,
8.069000000000000E+08,-1.484424007633138E+01,
8.069600000000000E+08,-1.483666664318216E+01,
8.070200000000000E+08,-1.484184757643193E+01,
8.070800000000000E+08,-1.482626447728839E+01,
8.071400000000000E+08,-1.482328091712517E+01,
8.072000000000000E+08,-1.483322854682482E+01,
8.072600000000000E+08,-1.485432911860678E+01,
8.073200000000000E+08,-1.485348199372503E+01,
8.073800000000000E+08,-1.485353807047154E+01,
8.074400000000000E+08,-1.483683939310299E+01,
8.075000000000000E+08,-1.484136099159050E+01,
8.075600000000000E+08,-1.484779618578324E+01,
8.076200000000000E+08,-1.483108618889024E+01,
8.076800000000000E+08,-1.484657835696283E+01,
8.077400000000000E+08,-1.483804891249309E+01,
8.078000000000000E+08,-1.485428354465902E+01,
8.078600000000000E+08,-1.483415561185680E+01,
8.079200000000000E+08,-1.481878332804031E+01,
8.079800000000000E+08,-1.484865450911261E+01,
8.080400000000000E+08,-1.487324805531937E+01,
8.081000000000000E+08,-1.483253470423213E+01,
8.081600000000000E+08,-1.485525286105369E+01,
8.082200000000000E+08,-1.482013678614795E+01,
8.082800000000000E+08,-1.482542722442967E+01,
8.083400000000000E+08,-1.485645387355318E+01,
8.084000000000000E+08,-1.478324524472208E+01,
8.084600000000000E+08,-1.483169158178097E+01,
8.085200000000000E+08,-1.487455589856685E+01,
8.085800000000000E+08,-1.483169984092189E+01,
8.086400000000000E+08,-1.485534213423377E+01,
8.087000000000000E+08,-1.483789790656279E+01,
8.087600000000000E+08,-1.485610775937823E+01,
8.088200000000000E+08,-1.484833834450158E+01,
8.088800000000000E+08,-1.484805499010133E+01,
8.089400000000000E+08,-1.484560425163200E+01,
8.090000000000000E+08,-1.486489466154263E+01,
8.090600000000000E+08,-1.487489642335026E+01,
8.091200000000000E+08,-1.483907269208284E+01,
8.091800000000000E+08,-1.486719138915854E+01,
8.092400000000000E+08,-1.485769333265766E+01,
8.093000000000000E+08,-1.483935857388284E+01,
8.093600000000000E+08,-1.484879041246992E+01,
8.094200000000000E+08,-1.484643885947681E+01,
8.094800000000000E+08,-1.483944070746939E+01,
8.095400000000000E+08,-1.485269941353583E+01,
8.096000000000000E+08,-1.484817902989612E+01,
8.096600000000000E+08,-1.485576490205789E+01,
8.097200000000000E+08,-1.482719148125258E+01,
8.097800000000000E+08,-1.484622888870648E+01,
8.098400000000000E+08,-1.485706713741900E+01,
8.099000000000000E+08,-1.484483953868375E+01,
8.099600000000000E+08,-1.487876584915743E+01,
8.100200000000000E+08,-1.483649466908735E+01,
8.100800000000000E+08,-1.482371461006392E+01,
8.101400000000000E+08,-1.488121295642618E+01,
8.102000000000000E+08,-1.485133645931207E+01,
8.102600000000000E+08,-1.485252487114997E+01,
8.103200000000000E+08,-1.485213905703910E+01,
8.103800000000000E+08,-1.487596536845715E+01,
8.104400000000000E+08,-1.486617457364794E+01,
8.105000000000000E+08,-1.487897898829632E+01,
8.105600000000000E+08,-1.488975191157649E+01,
8.106200000000000E+08,-1.484302458760118E+01,
8.106800000000000E+08,-1.486481848372408E+01,
8.107400000000000E+08,-1.485203305768033E+01,
8.108000000000000E+08,-1.484475321744521E+01,
8.108600000000000E+08,-1.485162246837850E+01,
8.109200000000000E+08,-1.487790893470549E+01,
8.109800000000000E+08,-1.486887893241483E+01,
8.110400000000000E+08,-1.484849792708680E+01,
8.111000000000000E+08,-1.484293089029357E+01,
8.111600000000000E+08,-1.485326947742907E+01,
8.112200000000000E+08,-1.484395264436273E+01,
8.112800000000000E+08,-1.486846824864234E+01,
8.113400000000000E+08,-1.486679839476223E+01,
8.114000000000000E+08,-1.486968733444998E+01,
8.114600000000000E+08,-1.488467841635131E+01,
8.115200000000000E+08,-1.486082060423932E+01,
8.115800000000000E+08,-1.486651974957654E+01,
8.116400000000000E+08,-1.488220227840422E+01,
8.117000000000000E+08,-1.486770981681282E+01,
8.117600000000000E+08,-1.488443951538285E+01,
8.118200000000000E+08,-1.485981082489534E+01,
8.118800000000000E+08,-1.485193725611567E+01,
8.119400000000000E+08,-1.488155110272938E+01,
8.120000000000000E+08,-1.487639458540485E+01,
8.120600000000000E+08,-1.487475220822852E+01,
8.121200000000000E+08,-1.487147172750650E+01,
8.121800000000000E+08,-1.486916374652670E+01,
8.122400000000000E+08,-1.488722482720849E+01,
8.123000000000000E+08,-1.487640409006720E+01,
8.123600000000000E+08,-1.489481982691335E+01,
8.124200000000000E+08,-1.487985424648376E+01,
8.124800000000000E+08,-1.489391871690387E+01,
8.125400000000000E+08,-1.485439586917920E+01,
8.126000000000000E+08,-1.485898478972825E+01,
8.126600000000000E+08,-1.486952506668958E+01,
8.127200000000000E+08,-1.489844209714823E+01,
8.127800000000000E+08,-1.485701406164514E+01,
8.128400000000000E+08,-1.487692526114263E+01,
8.129000000000000E+08,-1.487102140360760E+01,
8.129600000000000E+08,-1.491259455387798E+01,
8.130200000000000E+08,-1.486603516727533E+01,
8.130800000000000E+08,-1.489062720655660E+01,
8.131400000000000E+08,-1.489664196309628E+01,
8.132000000000000E+08,-1.486732188805554E+01,
8.132600000000000E+08,-1.489456485822455E+01,
8.133200000000000E+08,-1.488352786207038E+01,
8.133800000000000E+08,-1.490920785129576E+01,
8.134400000000000E+08,-1.487468490111201E+01,
8.135000000000000E+08,-1.485195106830137E+01,
8.135600000000000E+08,-1.489441592431957E+01,
8.136200000000000E+08,-1.489600492573168E+01,
8.136800000000000E+08,-1.487652642940853E+01,
8.137400000000000E+08,-1.490837199883334E+01,
8.138000000000000E+08,-1.487709686749363E+01,
8.138600000000000E+08,-1.486877899281127E+01,
8.139200000000000E+08,-1.487955146059494E+01,
8.139800000000000E+08,-1.489270343623369E+01,
8.140400000000000E+08,-1.488231389248336E+01,
8.141000000000000E+08,-1.488406794653823E+01,
8.141600000000000E+08,-1.490258224583946E+01,
8.142200000000000E+08,-1.489949598102006E+01,
8.142800000000000E+08,-1.489178824695448E+01,
8.143400000000000E+08,-1.490481896919009E+01,
8.144000000000000E+08,-1.490483666723722E+01,
8.144600000000000E+08,-1.488811940203151E+01,
8.145200000000000E+08,-1.488946376265359E+01,
8.145800000000000E+08,-1.488510406986304E+01,
8.146400000000000E+08,-1.489934708892090E+01,
8.147000000000000E+08,-1.490968954261518E+01,
8.147600000000000E+08,-1.487795558078189E+01,
8.148200000000000E+08,-1.485975136544674E+01,
8.148800000000000E+08,-1.490506473524825E+01,
8.149400000000000E+08,-1.488953331270676E+01,
8.150000000000000E+08,-1.490171372050685E+01,
8.150600000000000E+08,-1.491731224788747E+01,
8.151200000000000E+08,-1.490367227178474E+01,
8.151800000000000E+08,-1.488748676716547E+01,
8.152400000000000E+08,-1.488457068841346E+01,
8.153000000000000E+08,-1.488962897052049E+01,
8.153600000000000E+08,-1.488867953466864E+01,
8.154200000000000E+08,-1.490758506840572E+01,
8.154800000000000E+08,-1.488254713676813E+01,
8.155400000000000E+08,-1.488161110028580E+01,
8.156000000000000E+08,-1.491839711106556E+01,
8.156600000000000E+08,-1.487287680045938E+01,
8.157200000000000E+08,-1.490582469934720E+01,
8.157800000000000E+08,-1.488871729761962E+01,
8.158400000000000E+08,-1.490351374438194E+01,
8.159000000000000E+08,-1.486313820583592E+01,
8.159600000000000E+08,-1.489975815750212E+01,
8.160200000000000E+08,-1.490629069422014E+01,
8.160800000000000E+08,-1.488290597621434E+01,
8.161400000000000E+08,-1.487483694924269E+01,
8.162000000000000E+08,-1.489475973563159E+01,
8.162600000000000E+08,-1.492239195964550E+01,
